2022,sunrise time,Zenith,CF Sunset,Day length,Astronomical twilight start,Nautical twilight start,Civil twilight start,Civil twilight end,Nautical twilight end,Astronomical twilight end,
15-Jan,9:13 AM,1:23 PM,5:33 PM,08:20:10,+2:19,7:12 AM,7:52 AM,9:13 AM,5:33 PM,6:53 PM,7:33 PM
16-Jan,9:12 AM,1:23 PM,5:34 PM,08:22:36,+2:26,7:12 AM,7:52 AM,9:12 AM,5:34 PM,6:55 PM,7:35 PM
17-Jan,9:11 AM,1:23 PM,5:36 PM,08:25:05,+2:29,7:11 AM,7:51 AM,9:11 AM,5:36 PM,6:56 PM,7:36 PM
18-Jan,9:10 AM,1:24 PM,5:38 PM,08:27:37,+2:32,7:10 AM,7:50 AM,9:10 AM,5:38 PM,6:57 PM,7:37 PM
19-Jan,9:09 AM,1:24 PM,5:39 PM,08:30:15,+2:38,7:10 AM,7:49 AM,9:09 AM,5:39 PM,6:59 PM,7:39 PM
20-Jan,9:08 AM,1:24 PM,5:41 PM,08:32:56,+2:41,7:09 AM,7:49 AM,9:08 AM,5:41 PM,7:00 PM,7:40 PM
21-Jan,9:07 AM,1:25 PM,5:43 PM,08:35:42,+2:46,7:08 AM,7:48 AM,9:07 AM,5:43 PM,7:02 PM,7:41 PM
22-Jan,9:06 AM,1:25 PM,5:44 PM,08:38:31,+2:49,7:07 AM,7:47 AM,9:06 AM,5:44 PM,7:03 PM,7:43 PM
23-Jan,9:05 AM,1:25 PM,5:46 PM,08:41:23,+2:52,7:06 AM,7:46 AM,9:05 AM,5:46 PM,7:05 PM,7:44 PM
24-Jan,9:03 AM,1:26 PM,5:48 PM,08:44:19,+2:56,7:06 AM,7:45 AM,9:03 AM,5:48 PM,7:06 PM,7:45 PM
25-Jan,9:02 AM,1:26 PM,5:49 PM,08:47:19,+3:00,7:05 AM,7:44 AM,9:02 AM,5:49 PM,7:08 PM,7:47 PM
26-Jan,9:01 AM,1:26 PM,5:51 PM,08:50:21,+3:02,7:04 AM,7:43 AM,9:01 AM,5:51 PM,7:09 PM,7:48 PM
27-Jan,8:59 AM,1:26 PM,5:53 PM,08:53:26,+3:05,7:03 AM,7:42 AM,8:59 AM,5:53 PM,7:11 PM,7:50 PM
28-Jan,8:58 AM,1:26 PM,5:55 PM,08:56:35,+3:09,7:01 AM,7:41 AM,8:58 AM,5:55 PM,7:12 PM,7:51 PM
29-Jan,8:57 AM,1:27 PM,5:57 PM,08:59:47,+3:12,7:00 AM,7:40 AM,8:57 AM,5:57 PM,7:14 PM,7:53 PM
30-Jan,8:55 AM,1:27 PM,5:58 PM,09:03:01,+3:14,6:59 AM,7:38 AM,8:55 AM,5:58 PM,7:15 PM,7:54 PM
31-Jan,8:54 AM,1:27 PM,6:00 PM,09:06:17,+3:16,6:58 AM,7:37 AM,8:54 AM,6:00 PM,7:17 PM,7:56 PM
01-Feb,8:52 AM,1:27 PM,6:02 PM,09:09:37,+3:20,6:57 AM,7:36 AM,8:52 AM,6:02 PM,7:18 PM,7:57 PM
02-Feb,8:51 AM,1:27 PM,6:04 PM,09:12:58,+3:21,6:56 AM,7:35 AM,8:51 AM,6:04 PM,7:20 PM,7:59 PM
03-Feb,8:49 AM,1:27 PM,6:06 PM,09:16:22,+3:24,6:54 AM,7:33 AM,8:49 AM,6:06 PM,7:22 PM,8:01 PM
04-Feb,8:48 AM,1:28 PM,6:07 PM,09:19:48,+3:26,6:53 AM,7:32 AM,8:48 AM,6:07 PM,7:23 PM,8:02 PM
05-Feb,8:46 AM,1:28 PM,6:09 PM,09:23:16,+3:28,6:52 AM,7:30 AM,8:46 AM,6:09 PM,7:25 PM,8:04 PM
06-Feb,8:44 AM,1:28 PM,6:11 PM,09:26:47,+3:31,6:50 AM,7:29 AM,8:44 AM,6:11 PM,7:26 PM,8:05 PM
07-Feb,8:43 AM,1:28 PM,6:13 PM,09:30:18,+3:31,6:49 AM,7:27 AM,8:43 AM,6:13 PM,7:28 PM,8:07 PM
08-Feb,8:41 AM,1:28 PM,6:15 PM,09:33:52,+3:34,6:47 AM,7:26 AM,8:41 AM,6:15 PM,7:30 PM,8:08 PM
09-Feb,8:39 AM,1:28 PM,6:17 PM,09:37:27,+3:35,6:46 AM,7:24 AM,8:39 AM,6:17 PM,7:31 PM,8:10 PM
10-Feb,8:37 AM,1:28 PM,6:18 PM,09:41:05,+3:38,6:44 AM,7:23 AM,8:37 AM,6:18 PM,7:33 PM,8:12 PM
11-Feb,8:36 AM,1:28 PM,6:20 PM,09:44:43,+3:38,6:43 AM,7:21 AM,8:36 AM,6:20 PM,7:35 PM,8:13 PM
12-Feb,8:34 AM,1:28 PM,6:22 PM,09:48:23,+3:40,6:41 AM,7:20 AM,8:34 AM,6:22 PM,7:36 PM,8:15 PM
13-Feb,8:32 AM,1:28 PM,6:24 PM,09:52:05,+3:42,6:39 AM,7:18 AM,8:32 AM,6:24 PM,7:38 PM,8:17 PM
14-Feb,8:30 AM,1:28 PM,6:26 PM,09:55:47,+3:42,6:38 AM,7:16 AM,8:30 AM,6:26 PM,7:40 PM,8:18 PM
15-Feb,8:28 AM,1:28 PM,6:28 PM,09:59:31,+3:44,6:36 AM,7:14 AM,8:28 AM,6:28 PM,7:41 PM,8:20 PM
16-Feb,8:26 AM,1:28 PM,6:29 PM,10:03:16,+3:45,6:34 AM,7:13 AM,8:26 AM,6:29 PM,7:43 PM,8:22 PM
17-Feb,8:24 AM,1:28 PM,6:31 PM,10:07:03,+3:47,6:32 AM,7:11 AM,8:24 AM,6:31 PM,7:45 PM,8:23 PM
18-Feb,8:22 AM,1:28 PM,6:33 PM,10:10:50,+3:47,6:30 AM,7:09 AM,8:22 AM,6:33 PM,7:46 PM,8:25 PM
19-Feb,8:20 AM,1:28 PM,6:35 PM,10:14:38,+3:48,6:29 AM,7:07 AM,8:20 AM,6:35 PM,7:48 PM,8:27 PM
20-Feb,8:18 AM,1:28 PM,6:37 PM,10:18:27,+3:49,6:27 AM,7:05 AM,8:18 AM,6:37 PM,7:50 PM,8:28 PM
21-Feb,8:16 AM,1:27 PM,6:39 PM,10:22:17,+3:50,6:25 AM,7:03 AM,8:16 AM,6:39 PM,7:51 PM,8:30 PM
22-Feb,8:14 AM,1:27 PM,6:40 PM,10:26:08,+3:51,6:23 AM,7:02 AM,8:14 AM,6:40 PM,7:53 PM,8:32 PM
23-Feb,8:12 AM,1:27 PM,6:42 PM,10:29:59,+3:51,6:21 AM,7:00 AM,8:12 AM,6:42 PM,7:55 PM,8:33 PM
24-Feb,8:10 AM,1:27 PM,6:44 PM,10:33:52,+3:53,6:19 AM,6:58 AM,8:10 AM,6:44 PM,7:57 PM,8:35 PM
25-Feb,8:08 AM,1:27 PM,6:46 PM,10:37:44,+3:52,6:17 AM,6:56 AM,8:08 AM,6:46 PM,7:58 PM,8:37 PM
26-Feb,8:06 AM,1:27 PM,6:48 PM,10:41:38,+3:54,6:15 AM,6:54 AM,8:06 AM,6:48 PM,8:00 PM,8:39 PM
27-Feb,8:04 AM,1:27 PM,6:49 PM,10:45:32,+3:54,6:13 AM,6:52 AM,8:04 AM,6:49 PM,8:02 PM,8:40 PM
28-Feb,8:02 AM,1:26 PM,6:51 PM,10:49:26,+3:54,6:11 AM,6:49 AM,8:02 AM,6:51 PM,8:03 PM,8:42 PM
01-Mar,8:00 AM,1:26 PM,6:53 PM,10:53:21,+3:55,6:09 AM,6:47 AM,8:00 AM,6:53 PM,8:05 PM,8:44 PM
02-Mar,7:57 AM,1:26 PM,6:55 PM,10:57:17,+3:56,6:06 AM,6:45 AM,7:57 AM,6:55 PM,8:07 PM,8:46 PM
03-Mar,7:55 AM,1:26 PM,6:56 PM,11:01:13,+3:56,6:04 AM,6:43 AM,7:55 AM,6:56 PM,8:08 PM,8:47 PM
04-Mar,7:53 AM,1:26 PM,6:58 PM,11:05:09,+3:56,6:02 AM,6:41 AM,7:53 AM,6:58 PM,8:10 PM,8:49 PM
05-Mar,7:51 AM,1:25 PM,7:00 PM,11:09:05,+3:56,6:00 AM,6:39 AM,7:51 AM,7:00 PM,8:12 PM,8:51 PM
06-Mar,7:49 AM,1:25 PM,7:02 PM,11:13:03,+3:58,5:57 AM,6:37 AM,7:49 AM,7:02 PM,8:14 PM,8:53 PM
07-Mar,7:46 AM,1:25 PM,7:03 PM,11:17:00,+3:57,5:55 AM,6:34 AM,7:46 AM,7:03 PM,8:15 PM,8:55 PM
08-Mar,7:44 AM,1:25 PM,7:05 PM,11:20:57,+3:57,5:53 AM,6:32 AM,7:44 AM,7:05 PM,8:17 PM,8:56 PM
09-Mar,7:42 AM,1:24 PM,7:07 PM,11:24:55,+3:58,5:50 AM,6:30 AM,7:42 AM,7:07 PM,8:19 PM,8:58 PM
10-Mar,7:40 AM,1:24 PM,7:09 PM,11:28:53,+3:58,5:48 AM,6:28 AM,7:40 AM,7:09 PM,8:20 PM,9:00 PM
11-Mar,7:37 AM,1:24 PM,7:10 PM,11:32:52,+3:59,5:46 AM,6:25 AM,7:37 AM,7:10 PM,8:22 PM,9:02 PM
12-Mar,7:35 AM,1:24 PM,7:12 PM,11:36:49,+3:57,5:43 AM,6:23 AM,7:35 AM,7:12 PM,8:24 PM,9:04 PM
13-Mar,7:33 AM,1:23 PM,7:14 PM,11:40:48,+3:59,5:41 AM,6:21 AM,7:33 AM,7:14 PM,8:26 PM,9:06 PM
14-Mar,7:31 AM,1:23 PM,7:15 PM,11:44:47,+3:59,5:38 AM,6:18 AM,7:31 AM,7:15 PM,8:27 PM,9:07 PM
15-Mar,7:28 AM,1:23 PM,7:17 PM,11:48:45,+3:58,5:36 AM,6:16 AM,7:28 AM,7:17 PM,8:29 PM,9:09 PM
16-Mar,7:26 AM,1:22 PM,7:19 PM,11:52:44,+3:59,5:33 AM,6:14 AM,7:26 AM,7:19 PM,8:31 PM,9:11 PM
17-Mar,7:24 AM,1:22 PM,7:20 PM,11:56:42,+3:58,5:31 AM,6:11 AM,7:24 AM,7:20 PM,8:33 PM,9:13 PM
18-Mar,7:21 AM,1:22 PM,7:22 PM,12:00:41,+3:59,5:28 AM,6:09 AM,7:21 AM,7:22 PM,8:35 PM,9:15 PM
19-Mar,7:19 AM,1:21 PM,7:24 PM,12:04:39,+3:58,5:26 AM,6:07 AM,7:19 AM,7:24 PM,8:36 PM,9:17 PM
20-Mar,7:17 AM,1:21 PM,7:25 PM,12:08:38,+3:59,5:23 AM,6:04 AM,7:17 AM,7:25 PM,8:38 PM,9:19 PM
21-Mar,7:15 AM,1:21 PM,7:27 PM,12:12:37,+3:59,5:21 AM,6:02 AM,7:15 AM,7:27 PM,8:40 PM,9:21 PM
22-Mar,7:12 AM,1:21 PM,7:29 PM,12:16:35,+3:58,5:18 AM,5:59 AM,7:12 AM,7:29 PM,8:42 PM,9:23 PM
23-Mar,7:10 AM,1:20 PM,7:30 PM,12:20:34,+3:59,5:15 AM,5:57 AM,7:10 AM,7:30 PM,8:44 PM,9:25 PM
24-Mar,7:08 AM,1:20 PM,7:32 PM,12:24:32,+3:58,5:13 AM,5:54 AM,7:08 AM,7:32 PM,8:45 PM,9:27 PM
25-Mar,7:05 AM,1:20 PM,7:34 PM,12:28:30,+3:58,5:10 AM,5:52 AM,7:05 AM,7:34 PM,8:47 PM,9:29 PM
26-Mar,7:03 AM,1:19 PM,7:35 PM,12:32:28,+3:58,5:07 AM,5:49 AM,7:03 AM,7:35 PM,8:49 PM,9:31 PM
27-Mar,7:01 AM,1:19 PM,7:37 PM,12:36:26,+3:58,5:05 AM,5:47 AM,7:01 AM,7:37 PM,8:51 PM,9:33 PM
28-Mar,6:58 AM,1:19 PM,7:39 PM,12:40:24,+3:58,5:02 AM,5:45 AM,6:58 AM,7:39 PM,8:53 PM,9:35 PM
29-Mar,6:56 AM,1:18 PM,7:40 PM,12:44:22,+3:58,4:59 AM,5:42 AM,6:56 AM,7:40 PM,8:55 PM,9:37 PM
30-Mar,6:54 AM,1:18 PM,7:42 PM,12:48:19,+3:57,4:56 AM,5:40 AM,6:54 AM,7:42 PM,8:56 PM,9:40 PM
31-Mar,6:52 AM,1:18 PM,7:44 PM,12:52:16,+3:57,4:54 AM,5:37 AM,6:52 AM,7:44 PM,8:58 PM,9:42 PM
01-Apr,6:49 AM,1:17 PM,7:45 PM,12:56:13,+3:57,4:51 AM,5:34 AM,6:49 AM,7:45 PM,9:00 PM,9:44 PM
02-Apr,6:47 AM,1:17 PM,7:47 PM,13:00:10,+3:57,4:48 AM,5:32 AM,6:47 AM,7:47 PM,9:02 PM,9:46 PM
03-Apr,6:45 AM,1:17 PM,7:49 PM,13:04:05,+3:55,4:45 AM,5:29 AM,6:45 AM,7:49 PM,9:04 PM,9:48 PM
04-Apr,6:42 AM,1:16 PM,7:50 PM,13:08:01,+3:56,4:42 AM,5:27 AM,6:42 AM,7:50 PM,9:06 PM,9:51 PM
05-Apr,6:40 AM,1:16 PM,7:52 PM,13:11:57,+3:56,4:39 AM,5:24 AM,6:40 AM,7:52 PM,9:08 PM,9:53 PM
06-Apr,6:38 AM,1:16 PM,7:54 PM,13:15:52,+3:55,4:36 AM,5:22 AM,6:38 AM,7:54 PM,9:10 PM,9:55 PM
07-Apr,6:36 AM,1:16 PM,7:55 PM,13:19:46,+3:54,4:34 AM,5:19 AM,6:36 AM,7:55 PM,9:12 PM,9:58 PM
08-Apr,6:33 AM,1:15 PM,7:57 PM,13:23:40,+3:54,4:31 AM,5:17 AM,6:33 AM,7:57 PM,9:14 PM,10:00 PM
09-Apr,6:31 AM,1:15 PM,7:59 PM,13:27:34,+3:54,4:28 AM,5:14 AM,6:31 AM,7:59 PM,9:16 PM,10:02 PM
10-Apr,6:29 AM,1:15 PM,8:00 PM,13:31:27,+3:53,4:25 AM,5:12 AM,6:29 AM,8:00 PM,9:18 PM,10:05 PM
11-Apr,6:27 AM,1:14 PM,8:02 PM,13:35:20,+3:53,4:22 AM,5:09 AM,6:27 AM,8:02 PM,9:20 PM,10:07 PM
12-Apr,6:25 AM,1:14 PM,8:04 PM,13:39:12,+3:52,4:19 AM,5:06 AM,6:25 AM,8:04 PM,9:22 PM,10:10 PM
13-Apr,6:22 AM,1:14 PM,8:05 PM,13:43:03,+3:51,4:16 AM,5:04 AM,6:22 AM,8:05 PM,9:24 PM,10:12 PM
14-Apr,6:20 AM,1:14 PM,8:07 PM,13:46:54,+3:51,4:13 AM,5:01 AM,6:20 AM,8:07 PM,9:26 PM,10:15 PM
15-Apr,6:18 AM,1:13 PM,8:09 PM,13:50:44,+3:50,4:09 AM,4:59 AM,6:18 AM,8:09 PM,9:28 PM,10:17 PM
16-Apr,6:16 AM,1:13 PM,8:11 PM,13:54:33,+3:49,4:06 AM,4:56 AM,6:16 AM,8:11 PM,9:30 PM,10:20 PM
17-Apr,6:14 AM,1:13 PM,8:12 PM,13:58:22,+3:49,4:03 AM,4:54 AM,6:14 AM,8:12 PM,9:32 PM,10:23 PM
18-Apr,6:12 AM,1:13 PM,8:14 PM,14:02:09,+3:47,4:00 AM,4:51 AM,6:12 AM,8:14 PM,9:34 PM,10:25 PM
19-Apr,6:10 AM,1:13 PM,8:16 PM,14:05:57,+3:48,3:57 AM,4:49 AM,6:10 AM,8:16 PM,9:37 PM,10:28 PM
20-Apr,6:08 AM,1:12 PM,8:17 PM,14:09:42,+3:45,3:54 AM,4:46 AM,6:08 AM,8:17 PM,9:39 PM,10:31 PM
21-Apr,6:05 AM,1:12 PM,8:19 PM,14:13:28,+3:46,3:51 AM,4:43 AM,6:05 AM,8:19 PM,9:41 PM,10:34 PM
22-Apr,6:03 AM,1:12 PM,8:21 PM,14:17:11,+3:43,3:47 AM,4:41 AM,6:03 AM,8:21 PM,9:43 PM,10:37 PM
23-Apr,6:01 AM,1:12 PM,8:22 PM,14:20:55,+3:44,3:44 AM,4:38 AM,6:01 AM,8:22 PM,9:45 PM,10:39 PM
24-Apr,5:59 AM,1:12 PM,8:24 PM,14:24:36,+3:41,3:41 AM,4:36 AM,5:59 AM,8:24 PM,9:47 PM,10:42 PM
25-Apr,5:57 AM,1:11 PM,8:26 PM,14:28:16,+3:40,3:37 AM,4:33 AM,5:57 AM,8:26 PM,9:50 PM,10:45 PM
26-Apr,5:55 AM,1:11 PM,8:27 PM,14:31:56,+3:40,3:34 AM,4:31 AM,5:55 AM,8:27 PM,9:52 PM,10:48 PM
27-Apr,5:53 AM,1:11 PM,8:29 PM,14:35:34,+3:38,3:31 AM,4:28 AM,5:53 AM,8:29 PM,9:54 PM,10:52 PM
28-Apr,5:51 AM,1:11 PM,8:31 PM,14:39:11,+3:37,3:27 AM,4:26 AM,5:51 AM,8:31 PM,9:56 PM,10:55 PM
29-Apr,5:49 AM,1:11 PM,8:32 PM,14:42:46,+3:35,3:24 AM,4:23 AM,5:49 AM,8:32 PM,9:59 PM,10:58 PM
30-Apr,5:48 AM,1:11 PM,8:34 PM,14:46:20,+3:34,3:20 AM,4:21 AM,5:48 AM,8:34 PM,10:01 PM,11:01 PM
01-May,5:46 AM,1:11 PM,8:36 PM,14:49:52,+3:32,3:17 AM,4:18 AM,5:46 AM,8:36 PM,10:03 PM,11:04 PM
02-May,5:44 AM,1:11 PM,8:37 PM,14:53:23,+3:31,3:13 AM,4:16 AM,5:44 AM,8:37 PM,10:06 PM,11:08 PM
03-May,5:42 AM,1:10 PM,8:39 PM,14:56:51,+3:28,3:10 AM,4:13 AM,5:42 AM,8:39 PM,10:08 PM,11:11 PM
04-May,5:40 AM,1:10 PM,8:41 PM,15:00:19,+3:28,3:06 AM,4:11 AM,5:40 AM,8:41 PM,10:10 PM,11:15 PM
05-May,5:38 AM,1:10 PM,8:42 PM,15:03:44,+3:25,3:02 AM,4:08 AM,5:38 AM,8:42 PM,10:12 PM,11:18 PM
06-May,5:37 AM,1:10 PM,8:44 PM,15:07:07,+3:23,2:58 AM,4:06 AM,5:37 AM,8:44 PM,10:15 PM,11:22 PM
07-May,5:35 AM,1:10 PM,8:45 PM,15:10:28,+3:21,2:55 AM,4:03 AM,5:35 AM,8:45 PM,10:17 PM,11:26 PM
08-May,5:33 AM,1:10 PM,8:47 PM,15:13:48,+3:20,2:51 AM,4:01 AM,5:33 AM,8:47 PM,10:19 PM,11:30 PM
09-May,5:32 AM,1:10 PM,8:49 PM,15:17:04,+3:16,2:47 AM,3:58 AM,5:32 AM,8:49 PM,10:22 PM,11:33 PM
10-May,5:30 AM,1:10 PM,8:50 PM,15:20:18,+3:14,2:43 AM,3:56 AM,5:30 AM,8:50 PM,10:24 PM,11:38 PM
11-May,5:28 AM,1:10 PM,8:52 PM,15:23:31,+3:13,2:38 AM,3:54 AM,5:28 AM,8:52 PM,10:26 PM,11:42 PM
12-May,5:27 AM,1:10 PM,8:53 PM,15:26:41,+3:10,2:34 AM,3:51 AM,5:27 AM,8:53 PM,10:29 PM,11:46 PM
13-May,5:25 AM,1:10 PM,8:55 PM,15:29:47,+3:06,2:30 AM,3:49 AM,5:25 AM,8:55 PM,10:31 PM,11:50 PM
14-May,5:24 AM,1:10 PM,8:56 PM,15:32:52,+3:05,2:25 AM,3:47 AM,5:24 AM,8:56 PM,10:34 PM,11:55 PM
15-May,5:22 AM,1:10 PM,8:58 PM,15:35:54,+3:02,2:20 AM,3:44 AM,5:22 AM,8:58 PM,10:36 PM,12:00 AM
16-May,5:21 AM,1:10 PM,9:00 PM,15:38:53,+2:59,2:15 AM,3:42 AM,5:21 AM,9:00 PM,10:38 PM,12:05 AM
17-May,5:19 AM,1:10 PM,9:01 PM,15:41:48,+2:55,2:10 AM,3:40 AM,5:19 AM,9:01 PM,10:41 PM,12:11 AM
18-May,5:18 AM,1:10 PM,9:02 PM,15:44:40,+2:52,2:04 AM,3:37 AM,5:18 AM,9:02 PM,10:43 PM,12:17 AM
19-May,5:16 AM,1:10 PM,9:04 PM,15:47:29,+2:49,1:57 AM,3:35 AM,5:16 AM,9:04 PM,10:45 PM,12:23 AM
20-May,5:15 AM,1:10 PM,9:05 PM,15:50:15,+2:46,1:50 AM,3:33 AM,5:15 AM,9:05 PM,10:47 PM,12:30 AM
21-May,5:14 AM,1:10 PM,9:07 PM,15:52:57,+2:42,1:42 AM,3:31 AM,5:14 AM,9:07 PM,10:50 PM,12:39 AM
22-May,5:13 AM,1:10 PM,9:08 PM,15:55:36,+2:39,1:30 AM,3:29 AM,5:13 AM,9:08 PM,10:52 PM,12:51 AM
23-May,5:11 AM,1:10 PM,9:10 PM,15:58:12,+2:36,10:54 PM,3:27 AM,5:11 AM,9:10 PM,10:54 PM,3:27 AM
24-May,5:10 AM,1:11 PM,9:11 PM,16:00:43,+2:31,10:56 PM,3:25 AM,5:10 AM,9:11 PM,10:56 PM,3:25 AM
25-May,5:09 AM,1:11 PM,9:12 PM,16:03:10,+2:27,10:59 PM,3:23 AM,5:09 AM,9:12 PM,10:59 PM,3:23 AM
26-May,5:08 AM,1:11 PM,9:14 PM,16:05:34,+2:24,11:01 PM,3:21 AM,5:08 AM,9:14 PM,11:01 PM,3:21 AM
27-May,5:07 AM,1:11 PM,9:15 PM,16:07:52,+2:18,11:03 PM,3:19 AM,5:07 AM,9:15 PM,11:03 PM,3:19 AM
28-May,5:06 AM,1:11 PM,9:16 PM,16:10:07,+2:15,11:05 PM,3:17 AM,5:06 AM,9:16 PM,11:05 PM,3:17 AM
29-May,5:05 AM,1:11 PM,9:17 PM,16:12:18,+2:11,11:07 PM,3:15 AM,5:05 AM,9:17 PM,11:07 PM,3:15 AM
30-May,5:04 AM,1:11 PM,9:18 PM,16:14:24,+2:06,11:09 PM,3:13 AM,5:04 AM,9:18 PM,11:09 PM,3:13 AM
31-May,5:03 AM,1:11 PM,9:20 PM,16:16:25,+2:01,11:11 PM,3:12 AM,5:03 AM,9:20 PM,11:11 PM,3:12 AM
01-Jun,5:02 AM,1:12 PM,9:21 PM,16:18:22,+1:57,11:13 PM,3:10 AM,5:02 AM,9:21 PM,11:13 PM,3:10 AM
02-Jun,5:02 AM,1:12 PM,9:22 PM,16:20:13,+1:51,11:15 PM,3:08 AM,5:02 AM,9:22 PM,11:15 PM,3:08 AM
03-Jun,5:01 AM,1:12 PM,9:23 PM,16:22:00,+1:47,11:17 PM,3:07 AM,5:01 AM,9:23 PM,11:17 PM,3:07 AM
04-Jun,5:00 AM,1:12 PM,9:24 PM,16:23:43,+1:43,11:19 PM,3:05 AM,5:00 AM,9:24 PM,11:19 PM,3:05 AM
05-Jun,5:00 AM,1:12 PM,9:25 PM,16:25:19,+1:36,11:20 PM,3:04 AM,5:00 AM,9:25 PM,11:20 PM,3:04 AM
06-Jun,4:59 AM,1:12 PM,9:26 PM,16:26:50,+1:31,11:22 PM,3:03 AM,4:59 AM,9:26 PM,11:22 PM,3:03 AM
07-Jun,4:58 AM,1:13 PM,9:27 PM,16:28:17,+1:27,11:24 PM,3:01 AM,4:58 AM,9:27 PM,11:24 PM,3:01 AM
08-Jun,4:58 AM,1:13 PM,9:28 PM,16:29:37,+1:20,11:25 PM,3:00 AM,4:58 AM,9:28 PM,11:25 PM,3:00 AM
09-Jun,4:57 AM,1:13 PM,9:28 PM,16:30:53,+1:16,11:27 PM,2:59 AM,4:57 AM,9:28 PM,11:27 PM,2:59 AM
10-Jun,4:57 AM,1:13 PM,9:29 PM,16:32:02,+1:09,11:28 PM,2:58 AM,4:57 AM,9:29 PM,11:28 PM,2:58 AM
11-Jun,4:57 AM,1:13 PM,9:30 PM,16:33:06,+1:04,11:29 PM,2:57 AM,4:57 AM,9:30 PM,11:29 PM,2:57 AM
12-Jun,4:56 AM,1:14 PM,9:31 PM,16:34:05,+0:59,11:31 PM,2:56 AM,4:56 AM,9:31 PM,11:31 PM,2:56 AM
13-Jun,4:56 AM,1:14 PM,9:31 PM,16:34:57,+0:52,11:32 PM,2:56 AM,4:56 AM,9:31 PM,11:32 PM,2:56 AM
14-Jun,4:56 AM,1:14 PM,9:32 PM,16:35:44,+0:47,11:33 PM,2:55 AM,4:56 AM,9:32 PM,11:33 PM,2:55 AM
15-Jun,4:56 AM,1:14 PM,9:32 PM,16:36:25,+0:41,11:34 PM,2:55 AM,4:56 AM,9:32 PM,11:34 PM,2:55 AM
16-Jun,4:56 AM,1:14 PM,9:33 PM,16:36:59,+0:34,11:34 PM,2:54 AM,4:56 AM,9:33 PM,11:34 PM,2:54 AM
17-Jun,4:56 AM,1:15 PM,9:33 PM,16:37:29,+0:30,11:35 PM,2:54 AM,4:56 AM,9:33 PM,11:35 PM,2:54 AM
18-Jun,4:56 AM,1:15 PM,9:34 PM,16:37:51,+0:22,11:36 PM,2:54 AM,4:56 AM,9:34 PM,11:36 PM,2:54 AM
19-Jun,4:56 AM,1:15 PM,9:34 PM,16:38:08,+0:17,11:36 PM,2:54 AM,4:56 AM,9:34 PM,11:36 PM,2:54 AM
20-Jun,4:56 AM,1:15 PM,9:34 PM,16:38:18,+0:10,11:37 PM,2:54 AM,4:56 AM,9:34 PM,11:37 PM,2:54 AM
21-Jun,4:56 AM,1:15 PM,9:35 PM,16:38:23,+0:05,11:37 PM,2:54 AM,4:56 AM,9:35 PM,11:37 PM,2:54 AM
22-Jun,4:56 AM,1:16 PM,9:35 PM,16:38:21,−0:02,11:37 PM,2:54 AM,4:56 AM,9:35 PM,11:37 PM,2:54 AM
