2022,sunrise time,Zenith,FW Sunset,Day length,Astronomical twilight start,Nautical twilight start,Civil twilight start,Civil twilight end,Nautical twilight end,Astronomical twilight end,
21-Mar,7:21 AM,1:28 PM,7:36 PM,12:14:32,+4:50,5:10 AM,5:58 AM,7:21 AM,7:36 PM,8:59 PM,9:47 PM
22-Mar,7:18 AM,1:28 PM,7:38 PM,12:19:22,+4:50,5:06 AM,5:55 AM,7:18 AM,7:38 PM,9:01 PM,9:50 PM
23-Mar,7:16 AM,1:28 PM,7:40 PM,12:24:12,+4:50,5:03 AM,5:52 AM,7:16 AM,7:40 PM,9:04 PM,9:53 PM
24-Mar,7:13 AM,1:28 PM,7:42 PM,12:29:02,+4:50,5:00 AM,5:49 AM,7:13 AM,7:42 PM,9:06 PM,9:55 PM
25-Mar,7:10 AM,1:27 PM,7:44 PM,12:33:52,+4:50,4:56 AM,5:46 AM,7:10 AM,7:44 PM,9:08 PM,9:58 PM
26-Mar,7:08 AM,1:27 PM,7:46 PM,12:38:42,+4:50,4:53 AM,5:43 AM,7:08 AM,7:46 PM,9:11 PM,10:01 PM
27-Mar,7:05 AM,1:27 PM,7:48 PM,12:43:32,+4:50,4:49 AM,5:40 AM,7:05 AM,7:48 PM,9:13 PM,10:04 PM
28-Mar,7:02 AM,1:26 PM,7:50 PM,12:48:22,+4:50,4:46 AM,5:37 AM,7:02 AM,7:50 PM,9:16 PM,10:07 PM
29-Mar,6:59 AM,1:26 PM,7:53 PM,12:53:10,+4:48,4:42 AM,5:34 AM,6:59 AM,7:53 PM,9:18 PM,10:10 PM
30-Mar,6:57 AM,1:26 PM,7:55 PM,12:58:00,+4:50,4:39 AM,5:31 AM,6:57 AM,7:55 PM,9:20 PM,10:13 PM
31-Mar,6:54 AM,1:25 PM,7:57 PM,13:02:49,+4:49,4:35 AM,5:28 AM,6:54 AM,7:57 PM,9:23 PM,10:16 PM
01-Apr,6:51 AM,1:25 PM,7:59 PM,13:07:38,+4:49,4:32 AM,5:25 AM,6:51 AM,7:59 PM,9:25 PM,10:19 PM
02-Apr,6:49 AM,1:25 PM,8:01 PM,13:12:27,+4:49,4:28 AM,5:22 AM,6:49 AM,8:01 PM,9:28 PM,10:22 PM
03-Apr,6:46 AM,1:24 PM,8:03 PM,13:17:15,+4:48,4:24 AM,5:18 AM,6:46 AM,8:03 PM,9:30 PM,10:25 PM
04-Apr,6:43 AM,1:24 PM,8:05 PM,13:22:03,+4:48,4:20 AM,5:15 AM,6:43 AM,8:05 PM,9:33 PM,10:28 PM
05-Apr,6:40 AM,1:24 PM,8:07 PM,13:26:51,+4:48,4:16 AM,5:12 AM,6:40 AM,8:07 PM,9:36 PM,10:31 PM
06-Apr,6:38 AM,1:24 PM,8:09 PM,13:31:38,+4:47,4:13 AM,5:09 AM,6:38 AM,8:09 PM,9:38 PM,10:35 PM
07-Apr,6:35 AM,1:23 PM,8:11 PM,13:36:26,+4:48,4:09 AM,5:06 AM,6:35 AM,8:11 PM,9:41 PM,10:38 PM
08-Apr,6:32 AM,1:23 PM,8:14 PM,13:41:12,+4:46,4:05 AM,5:03 AM,6:32 AM,8:14 PM,9:43 PM,10:41 PM
09-Apr,6:30 AM,1:23 PM,8:16 PM,13:45:59,+4:47,4:01 AM,4:59 AM,6:30 AM,8:16 PM,9:46 PM,10:45 PM
10-Apr,6:27 AM,1:22 PM,8:18 PM,13:50:45,+4:46,3:56 AM,4:56 AM,6:27 AM,8:18 PM,9:49 PM,10:48 PM
11-Apr,6:24 AM,1:22 PM,8:20 PM,13:55:31,+4:46,3:52 AM,4:53 AM,6:24 AM,8:20 PM,9:51 PM,10:52 PM
12-Apr,6:22 AM,1:22 PM,8:22 PM,14:00:16,+4:45,3:48 AM,4:50 AM,6:22 AM,8:22 PM,9:54 PM,10:56 PM
13-Apr,6:19 AM,1:22 PM,8:24 PM,14:05:01,+4:45,3:44 AM,4:46 AM,6:19 AM,8:24 PM,9:57 PM,11:00 PM
14-Apr,6:17 AM,1:21 PM,8:26 PM,14:09:45,+4:44,3:39 AM,4:43 AM,6:17 AM,8:26 PM,10:00 PM,11:04 PM
15-Apr,6:14 AM,1:21 PM,8:28 PM,14:14:29,+4:44,3:35 AM,4:40 AM,6:14 AM,8:28 PM,10:03 PM,11:08 PM
16-Apr,6:11 AM,1:21 PM,8:30 PM,14:19:11,+4:42,3:30 AM,4:36 AM,6:11 AM,8:30 PM,10:05 PM,11:12 PM
17-Apr,6:09 AM,1:21 PM,8:33 PM,14:23:53,+4:42,3:25 AM,4:33 AM,6:09 AM,8:33 PM,10:08 PM,11:16 PM
18-Apr,6:06 AM,1:20 PM,8:35 PM,14:28:35,+4:42,3:20 AM,4:30 AM,6:06 AM,8:35 PM,10:11 PM,11:21 PM
19-Apr,6:04 AM,1:20 PM,8:37 PM,14:33:16,+4:41,3:15 AM,4:26 AM,6:04 AM,8:37 PM,10:14 PM,11:25 PM
20-Apr,6:01 AM,1:20 PM,8:39 PM,14:37:56,+4:40,3:10 AM,4:23 AM,6:01 AM,8:39 PM,10:17 PM,11:30 PM
21-Apr,5:59 AM,1:20 PM,8:41 PM,14:42:36,+4:40,3:05 AM,4:19 AM,5:59 AM,8:41 PM,10:20 PM,11:35 PM
22-Apr,5:56 AM,1:20 PM,8:43 PM,14:47:14,+4:38,2:59 AM,4:16 AM,5:56 AM,8:43 PM,10:23 PM,11:40 PM
23-Apr,5:54 AM,1:19 PM,8:45 PM,14:51:51,+4:37,2:53 AM,4:13 AM,5:54 AM,8:45 PM,10:26 PM,11:46 PM
24-Apr,5:51 AM,1:19 PM,8:48 PM,14:56:28,+4:37,2:47 AM,4:09 AM,5:51 AM,8:48 PM,10:30 PM,11:51 PM
25-Apr,5:49 AM,1:19 PM,8:50 PM,15:01:04,+4:36,2:41 AM,4:06 AM,5:49 AM,8:50 PM,10:33 PM,11:58 PM
26-Apr,5:46 AM,1:19 PM,8:52 PM,15:05:37,+4:33,2:34 AM,4:02 AM,5:46 AM,8:52 PM,10:36 PM,12:04 AM
27-Apr,5:44 AM,1:19 PM,8:54 PM,15:10:11,+4:34,2:26 AM,3:58 AM,5:44 AM,8:54 PM,10:39 PM,12:12 AM
28-Apr,5:41 AM,1:19 PM,8:56 PM,15:14:42,+4:31,2:18 AM,3:55 AM,5:41 AM,8:56 PM,10:42 PM,12:20 AM
29-Apr,5:39 AM,1:19 PM,8:58 PM,15:19:13,+4:31,2:08 AM,3:51 AM,5:39 AM,8:58 PM,10:46 PM,12:29 AM
30-Apr,5:37 AM,1:18 PM,9:00 PM,15:23:42,+4:29,1:56 AM,3:48 AM,5:37 AM,9:00 PM,10:49 PM,12:41 AM
01-May,5:34 AM,1:18 PM,9:02 PM,15:28:09,+4:27,1:39 AM,3:44 AM,5:34 AM,9:02 PM,10:53 PM,12:58 AM
02-May,5:32 AM,1:18 PM,9:04 PM,15:32:35,+4:26,10:56 PM,3:40 AM,5:32 AM,9:04 PM,10:56 PM,3:40 AM
03-May,5:30 AM,1:18 PM,9:07 PM,15:36:59,+4:24,11:00 PM,3:37 AM,5:30 AM,9:07 PM,11:00 PM,3:37 AM
04-May,5:27 AM,1:18 PM,9:09 PM,15:41:21,+4:22,11:03 PM,3:33 AM,5:27 AM,9:09 PM,11:03 PM,3:33 AM
05-May,5:25 AM,1:18 PM,9:11 PM,15:45:42,+4:21,11:07 PM,3:29 AM,5:25 AM,9:11 PM,11:07 PM,3:29 AM
06-May,5:23 AM,1:18 PM,9:13 PM,15:50:00,+4:18,11:11 PM,3:25 AM,5:23 AM,9:13 PM,11:11 PM,3:25 AM
07-May,5:21 AM,1:18 PM,9:15 PM,15:54:16,+4:16,11:14 PM,3:21 AM,5:21 AM,9:15 PM,11:14 PM,3:21 AM
08-May,5:19 AM,1:18 PM,9:17 PM,15:58:30,+4:14,11:18 PM,3:17 AM,5:19 AM,9:17 PM,11:18 PM,3:17 AM
09-May,5:16 AM,1:18 PM,9:19 PM,16:02:42,+4:12,11:22 PM,3:13 AM,5:16 AM,9:19 PM,11:22 PM,3:13 AM
10-May,5:14 AM,1:18 PM,9:21 PM,16:06:52,+4:10,11:26 PM,3:09 AM,5:14 AM,9:21 PM,11:26 PM,3:09 AM
11-May,5:12 AM,1:18 PM,9:23 PM,16:10:58,+4:06,11:30 PM,3:05 AM,5:12 AM,9:23 PM,11:30 PM,3:05 AM
12-May,5:10 AM,1:18 PM,9:25 PM,16:15:03,+4:05,11:34 PM,3:01 AM,5:10 AM,9:25 PM,11:34 PM,3:01 AM
13-May,5:08 AM,1:18 PM,9:27 PM,16:19:04,+4:01,11:39 PM,2:57 AM,5:08 AM,9:27 PM,11:39 PM,2:57 AM
14-May,5:06 AM,1:18 PM,9:29 PM,16:23:02,+3:58,11:43 PM,2:52 AM,5:06 AM,9:29 PM,11:43 PM,2:52 AM
15-May,5:04 AM,1:18 PM,9:31 PM,16:26:58,+3:56,11:47 PM,2:48 AM,5:04 AM,9:31 PM,11:47 PM,2:48 AM
16-May,5:02 AM,1:18 PM,9:33 PM,16:30:49,+3:51,11:52 PM,2:43 AM,5:02 AM,9:33 PM,11:52 PM,2:43 AM
17-May,5:00 AM,1:18 PM,9:35 PM,16:34:38,+3:49,11:57 PM,2:39 AM,5:00 AM,9:35 PM,11:57 PM,2:39 AM
18-May,4:59 AM,1:18 PM,9:37 PM,16:38:23,+3:45,12:02 AM,2:34 AM,4:59 AM,9:37 PM,12:02 AM,2:34 AM
19-May,4:57 AM,1:18 PM,9:39 PM,16:42:05,+3:42,12:07 AM,2:29 AM,4:57 AM,9:39 PM,12:07 AM,2:29 AM
20-May,4:55 AM,1:18 PM,9:41 PM,16:45:42,+3:37,12:13 AM,2:23 AM,4:55 AM,9:41 PM,12:13 AM,2:23 AM
21-May,4:53 AM,1:18 PM,9:43 PM,16:49:15,+3:33,12:18 AM,2:17 AM,4:53 AM,9:43 PM,12:18 AM,2:17 AM
22-May,4:52 AM,1:18 PM,9:44 PM,16:52:44,+3:29,12:25 AM,2:11 AM,4:52 AM,9:44 PM,12:25 AM,2:11 AM
23-May,4:50 AM,1:18 PM,9:46 PM,16:56:08,+3:24,12:32 AM,2:05 AM,4:50 AM,9:46 PM,12:32 AM,2:05 AM
24-May,4:49 AM,1:18 PM,9:48 PM,16:59:29,+3:21,12:40 AM,1:57 AM,4:49 AM,9:48 PM,12:40 AM,1:57 AM
25-May,4:47 AM,1:18 PM,9:50 PM,17:02:45,+3:16,12:49 AM,1:48 AM,4:47 AM,9:50 PM,12:49 AM,1:48 AM
26-May,4:46 AM,1:18 PM,9:51 PM,17:05:55,+3:10,1:03 AM,1:34 AM,4:46 AM,9:51 PM,1:03 AM,1:34 AM
27-May,4:44 AM,1:19 PM,9:53 PM,17:09:00,+3:05,—,10:51 PM,4:44 AM,9:53 PM,3:46 AM,—
28-May,4:43 AM,1:19 PM,9:55 PM,17:12:01,+3:01,—,10:54 PM,4:43 AM,9:55 PM,3:44 AM,—
29-May,4:41 AM,1:19 PM,9:56 PM,17:14:56,+2:55,—,10:56 PM,4:41 AM,9:56 PM,3:42 AM,—
30-May,4:40 AM,1:19 PM,9:58 PM,17:17:44,+2:48,—,10:58 PM,4:40 AM,9:58 PM,3:40 AM,—
31-May,4:39 AM,1:19 PM,9:59 PM,17:20:27,+2:43,—,11:00 PM,4:39 AM,9:59 PM,3:38 AM,—
01-Jun,4:38 AM,1:19 PM,10:01 PM,17:23:05,+2:38,—,11:02 PM,4:38 AM,10:01 PM,3:37 AM,—
02-Jun,4:37 AM,1:19 PM,10:02 PM,17:25:35,+2:30,—,11:04 PM,4:37 AM,10:02 PM,3:35 AM,—
03-Jun,4:36 AM,1:20 PM,10:04 PM,17:28:00,+2:25,—,11:06 PM,4:36 AM,10:04 PM,3:34 AM,—
04-Jun,4:35 AM,1:20 PM,10:05 PM,17:30:18,+2:18,—,11:07 PM,4:35 AM,10:05 PM,3:32 AM,—
05-Jun,4:34 AM,1:20 PM,10:06 PM,17:32:30,+2:12,—,11:09 PM,4:34 AM,10:06 PM,3:31 AM,—
06-Jun,4:33 AM,1:20 PM,10:07 PM,17:34:34,+2:04,—,11:11 PM,4:33 AM,10:07 PM,3:29 AM,—
07-Jun,4:32 AM,1:20 PM,10:08 PM,17:36:31,+1:57,—,11:12 PM,4:32 AM,10:08 PM,3:28 AM,—
08-Jun,4:31 AM,1:20 PM,10:10 PM,17:38:21,+1:50,—,11:14 PM,4:31 AM,10:10 PM,3:27 AM,—
09-Jun,4:31 AM,1:21 PM,10:11 PM,17:40:05,+1:44,—,11:15 PM,4:31 AM,10:11 PM,3:26 AM,—
10-Jun,4:30 AM,1:21 PM,10:12 PM,17:41:40,+1:35,—,11:17 PM,4:30 AM,10:12 PM,3:25 AM,—
11-Jun,4:29 AM,1:21 PM,10:13 PM,17:43:08,+1:28,—,11:18 PM,4:29 AM,10:13 PM,3:24 AM,—
12-Jun,4:29 AM,1:21 PM,10:13 PM,17:44:28,+1:20,—,11:19 PM,4:29 AM,10:13 PM,3:23 AM,—
13-Jun,4:29 AM,1:21 PM,10:14 PM,17:45:40,+1:12,—,11:20 PM,4:29 AM,10:14 PM,3:22 AM,—
14-Jun,4:28 AM,1:22 PM,10:15 PM,17:46:44,+1:04,—,11:21 PM,4:28 AM,10:15 PM,3:22 AM,—
15-Jun,4:28 AM,1:22 PM,10:16 PM,17:47:41,+0:57,—,11:22 PM,4:28 AM,10:16 PM,3:21 AM,—
16-Jun,4:28 AM,1:22 PM,10:16 PM,17:48:29,+0:48,—,11:23 PM,4:28 AM,10:16 PM,3:21 AM,—
17-Jun,4:28 AM,1:22 PM,10:17 PM,17:49:08,+0:39,—,11:24 PM,4:28 AM,10:17 PM,3:21 AM,—
18-Jun,4:28 AM,1:22 PM,10:17 PM,17:49:40,+0:32,—,11:24 PM,4:28 AM,10:17 PM,3:20 AM,—
19-Jun,4:28 AM,1:23 PM,10:18 PM,17:50:02,+0:22,—,11:25 PM,4:28 AM,10:18 PM,3:20 AM,—
20-Jun,4:28 AM,1:23 PM,10:18 PM,17:50:18,+0:16,—,11:25 PM,4:28 AM,10:18 PM,3:20 AM,—
21-Jun,4:28 AM,1:23 PM,10:18 PM,17:50:24,+0:06,—,11:26 PM,4:28 AM,10:18 PM,3:20 AM,—
22-Jun,4:28 AM,1:23 PM,10:18 PM,17:50:22,−0:02,—,11:26 PM,4:28 AM,10:18 PM,3:21 AM,—
23-Jun,4:28 AM,1:23 PM,10:18 PM,17:50:12,−0:10,—,11:26 PM,4:28 AM,10:18 PM,3:21 AM,—
24-Jun,4:29 AM,1:24 PM,10:19 PM,17:49:53,−0:19,—,11:26 PM,4:29 AM,10:19 PM,3:21 AM,—
25-Jun,4:29 AM,1:24 PM,10:19 PM,17:49:26,−0:27,—,11:26 PM,4:29 AM,10:19 PM,3:22 AM,—
26-Jun,4:30 AM,1:24 PM,10:18 PM,17:48:51,−0:35,—,11:25 PM,4:30 AM,10:18 PM,3:23 AM,—
